"Source:","C:\Users\aydin\OneDrive\Masaüstü\Projects\Dc load\DC LOAD\DC LOAD.kicad_sch"
"Date:","1.08.2023 19:03:56"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","99"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins"
"1","1","A1","Arduino_Nano_v3.x","MCU_Module:Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","","",""
"2","2","C1, C15","1u","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","",""
"3","6","C2, C3, C4, C5, C6, C9","10n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"4","2","C7, C8","25u","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","",""
"5","1","C10","100P","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"6","1","C11","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"7","1","C12","10u","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","",""
"8","1","C13","0.1u","Device:C_Polarized_Small_US","Capacitor_SMD:C_0805_2012Metric","~","","",""
"9","1","C14","10u-100u","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"10","1","C16","1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"11","2","D1, D2","1N4003","Diode:1N4003","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","D","1=K 2=A"
"12","3","D3, D4, D5","1N4002","Diode:1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","D","1=K 2=A"
"13","1","D6","~","My_Diode:(global_label_{dblquote}Load-{dblquote}_(shape_input)_(at_527.05_119.38_0)_(fields_autoplaced)","MRB2040:MRB2040","","","",""
"14","1","F1","Fuse","Device:Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","~","","",""
"15","2","J1, J8","Conn_01x02_Pin","Connector:Conn_01x02_Pin","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~","","",""
"16","1","J2","Conn_01x06_Pin","Connector:Conn_01x06_Pin","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","","",""
"17","1","J3","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","",""
"18","1","J4","Conn_01x08_Pin","Connector:Conn_01x08_Pin","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","",""
"19","1","J5","Conn_01x10_Pin","Connector:Conn_01x10_Pin","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~","","",""
"20","1","J6","Conn_01x05_Pin","Connector:Conn_01x05_Pin","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","",""
"21","1","J7","Conn_01x02_Pin","Connector:Conn_01x02_Pin","Connector:Banana_Jack_2Pin","~","","",""
"22","4","Q2, Q4, Q6, Q10","IRF740","Transistor_FET:IRF740","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.vishay.com/docs/91054/91054.pdf","","",""
"23","1","Q9","BC557","Transistor_BJT:BC557","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","","",""
"24","1","R1","100k","Device:R_US","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","~","","",""
"25","1","R2","10k","Device:R_US","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","~","","",""
"26","1","R3","4.7k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"27","4","R4, R8, R12, R16","1k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","",""
"28","4","R5, R9, R13, R17","100","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","",""
"29","3","R6, R28, R29","100k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","",""
"30","3","R7, R30, R31","5k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","",""
"31","3","R10, R34, R35","20k","Device:R_US","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","~","","",""
"32","3","R11, R32, R33","1M","Device:R_US","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","~","","",""
"33","2","R14, R15","0","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","",""
"34","1","R18","200k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","",""
"35","2","R20, R21","10K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","",""
"36","1","R22","10K","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"37","1","R23","1M","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"38","4","R24, R25, R26, R27","0.1","Device:R_US","Resistor_THT:R_Axial_DIN0614_L14.3mm_D5.7mm_P20.32mm_Horizontal","~","","",""
"39","2","R38, R40","10k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","",""
"40","2","R39, R41","100","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","",""
"41","1","R42","2.7k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","",""
"42","2","R43, R48","240","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","",""
"43","1","R44","50k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","",""
"44","5","R45, R46, R47, R49, R51","10k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","",""
"45","1","R50","560","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","",""
"46","2","RV2, RV3","10k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3299W_Vertical","~","","",""
"47","1","RV4","200k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3299W_Vertical","~","","",""
"48","2","RV5, RV6","1k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3299W_Vertical","~","","",""
"49","1","SW1","SW_Push","Switch:SW_Push","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~","","",""
"50","1","SW2","SW_DPDT_x2","Switch:SW_DPDT_x2","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","~","","",""
"51","1","U2","OPA4197xD","Amplifier_Operational:OPA4197xD","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/opa4197.pdf","","",""
"52","1","U3","LM324","Amplifier_Operational:LM324","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","","",""
"53","1","U4","LM741","Amplifier_Operational:LM741","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm741.pdf","","",""
"54","1","U5","LM318N","Amplifier_Operational:LM318N","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm318-n.pdf","","",""
"55","2","U9, U10","LM317_TO-220","Regulator_Linear:LM317_TO-220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf","","",""
