"Reference","Value","Datasheet","Qty"
"A1","Arduino_Nano_v3.x","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","1"
"C1, C15","1u","~","2"
"C2-C6, C9","10n","~","6"
"C7, C8","25u","~","2"
"C10","100P","~","1"
"C11","10u","~","1"
"C12","10u","~","1"
"C13","0.1u","~","1"
"C14","10u-100u","~","1"
"C16","1u","~","1"
"D1, D2","1N4003","http://www.vishay.com/docs/88503/1n4001.pdf","2"
"D3-D5","1N4002","http://www.vishay.com/docs/88503/1n4001.pdf","3"
"D6","","","1"
"F1","Fuse","~","1"
"J1, J8","Conn_01x02_Pin","~","2"
"J2","Conn_01x06_Pin","~","1"
"J3","Conn_01x04","~","1"
"J4","Conn_01x08_Pin","~","1"
"J5","Conn_01x10_Pin","~","1"
"J6","Conn_01x05_Pin","~","1"
"J7","Conn_01x02_Pin","~","1"
"Q2, Q4, Q6, Q10","IRF740","http://www.vishay.com/docs/91054/91054.pdf","4"
"Q9","BC557","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","1"
"R1","100k","~","1"
"R2","10k","~","1"
"R3","4.7k","~","1"
"R4, R8, R12, R16","1k","~","4"
"R5, R9, R13, R17","100","~","4"
"R6, R28, R29","100k","~","3"
"R7, R30, R31","5k","~","3"
"R10, R34, R35","20k","~","3"
"R11, R32, R33","1M","~","3"
"R14, R15","0","~","2"
"R18","200k","~","1"
"R20, R21","10K","~","2"
"R22","10K","~","1"
"R23","1M","~","1"
"R24-R27","0.1","~","4"
"R38, R40","10k","~","2"
"R39, R41","100","~","2"
"R42","2.7k","~","1"
"R43, R48","240","~","2"
"R44","50k","~","1"
"R45-R47, R49, R51","10k","~","5"
"R50","560","~","1"
"RV2, RV3","10k","~","2"
"RV4","200k","~","1"
"RV5, RV6","1k","~","2"
"SW1","SW_Push","~","1"
"SW2","SW_DPDT_x2","~","1"
"U2","OPA4197xD","http://www.ti.com/lit/ds/symlink/opa4197.pdf","1"
"U3","LM324","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","1"
"U4","LM741","http://www.ti.com/lit/ds/symlink/lm741.pdf","1"
"U5","LM318N","http://www.ti.com/lit/ds/symlink/lm318-n.pdf","1"
"U9, U10","LM317_TO-220","http://www.ti.com/lit/ds/symlink/lm317.pdf","2"
"U11","ICL7660","http://datasheets.maximintegrated.com/en/ds/ICL7660-MAX1044.pdf","1"
